"occ1990dd","occ1990dd_title","complexsco","pctile_complexsco","complexind","pctile_complexind","weight","_active_learn","_analyze","_cat_flex","_complex_prob","_creative","_critical","_decisions_prob","_deductive","_develop","_evaluate","_flex_closure","_fluency","_inductive","_information_ord","_judge_quality","_judgement","_math","_math_reason","_memorization","_monitor","_number_facility","_oral_comp","_oral_expr","_originality","_percep_speed","_prob_sensitive","_process","_program","_science","_speed_closure","_systems_analysis","_systems_eval","_update","_written_comp","_written_expr"
69,"Physicists and astronomists",28.1776495510101,1,15.5808019638062,1,0.000414331522642364,5.25,6.30999994277954,4.75500011444092,4.18499994277954,6.44000005722046,4.56500005722046,6.07499980926514,5,5.01000022888184,3.2649998664856,4.19000005722046,4.68499994277954,5.05999994277954,4.56500005722046,4.10000038146973,4.18499994277954,5.25,5.44000005722046,3.31500005722046,3.8899998664856,4.875,5.56500005722046,5.5,4.75,3.31500005722046,4.5,6.33500003814697,3,5.44000005722046,3.75,3.61999988555908,3.5,5.99499988555908,5.5,5.31500005722046
48,"Chemical engineers",26.8705849354744,0.996835443037975,13.7361040115356,0.999585688114166,0.00105575591546114,4.5,5.48000001907349,4.88000011444092,4.38000011444092,5.51999998092651,4.61999988555908,5.67999982833862,4.88000011444092,4.67999982833862,4.40000009536743,3.61999988555908,3.88000011444092,4.61999988555908,4.61999988555908,4.3600001335144,4.61999988555908,4.88000011444092,4.25,2.88000011444092,5.15999984741211,4.5,5.11999988555908,4.88000011444092,4.5,3.5,4.5,5.55999994277954,2.61999988555908,5.38000011444092,3.11999988555908,4.38000011444092,4.5,5.71999979019165,5,4.25
78,"Biological scientists",26.0395579338551,0.990506329113924,12.3607301712036,0.998529970645905,0.000581131230362519,4.56333351135254,5.89666652679443,4.45833349227905,3.98000001907349,5.80166673660278,4.46000003814697,5.62333345413208,4.70833349227905,4.69999980926514,3.66166663169861,3.75,3.99666666984558,4.85166645050049,4.14666652679443,4.20499992370605,4.10333347320557,4.10333347320557,4.10333347320557,2.85166668891907,4.93833351135254,3.8733332157135,5.25166654586792,5.08166646957397,4.12333345413208,3.16833329200745,4.625,5.99666690826416,2.06166672706604,4.496666431427,3.0016667842865,3.66666674613953,3.6266667842865,6.08166646957397,5.01999998092651,5.06333351135254
66,"Actuaries",26.1700040219307,0.993670886075949,12.2142162322998,0.997948825359344,0.000147164150023471,4.11999988555908,6.73000001907349,3.88000011444092,4.5,5.6399998664856,4.75,6.15000009536743,4.61999988555908,4.69999980926514,5.30000019073486,3.38000011444092,4,4.38000011444092,4.11999988555908,4,4.75,4.88000011444092,4.75,2.88000011444092,3.60999989509583,5,4.5,4.88000011444092,3.61999988555908,3,4.38000011444092,6.32999992370605,2.61999988555908,1.87999999523163,2.88000011444092,4.5,4.5,5.6399998664856,4.88000011444092,4.25
83,"Medical scientists",25.7823343183994,0.987341772151899,11.7577095031738,0.997801661491394,0.000243740361871581,4.30999994277954,6.24499988555908,4.11999988555908,4.30999994277954,5.375,4.43499994277954,5.34000015258789,4.56500005722046,4.53499984741211,4.63500022888184,3.5,3.875,5,4.13000011444092,4.42999982833862,4.11999988555908,3.875,3.94000005722046,2.875,5.44499969482422,3.75,5,4.75,3.69000005722046,2.93499994277954,4.75,6.32499980926514,1.05999994277954,5.06500005722046,2.80999994277954,3.875,3.80999994277954,6.02999973297119,4.93499994277954,4.75
44,"Aerospace engineers",25.7450720042706,0.984177215189873,11.4764785766602,0.997557938098907,0.00160195792213313,3.88000011444092,5.84000015258789,4,4.25,6.17000007629395,4.61999988555908,5.84000015258789,4.75,3.57999992370605,4.21000003814697,3.25,4,4.25,4,4.5,3.88000011444092,4.75,4.75,2.61999988555908,5.01000022888184,3.75,4.88000011444092,4.75,4.11999988555908,3.11999988555908,4.11999988555908,6.34999990463257,1.75,5.11999988555908,2.61999988555908,4,3.88000011444092,6.01999998092651,5.11999988555908,4.75
45,"Metallurgical and materials engineers",25.2906609889984,0.981012658227848,11.0823078155518,0.995955944061279,0.00044205755100446,4.5,5.71999979019165,4.61999988555908,4,5.67000007629395,4.38000011444092,5.26000022888184,4.61999988555908,4.38000011444092,4.59000015258789,3.38000011444092,3.75,4.38000011444092,4,4.67000007629395,4,4.11999988555908,4.5,2,5.51000022888184,4.25,4.75,4.88000011444092,4.11999988555908,3.11999988555908,4.25,5.71999979019165,1.87999999523163,4.61999988555908,2.61999988555908,3.5,3.38000011444092,5.6399998664856,4.75,4.61999988555908
53,"Civil engineers",25.0650574568748,0.977848101265823,10.9352159500122,0.995513916015625,0.00370266290644627,4.125,4.97000026702881,4.125,4.11999988555908,5.24499988555908,4.30999994277954,5.56500005722046,4.75,4.49499988555908,4.89499998092651,3.44000005722046,4,4.11999988555908,3.94000005722046,4.27999973297119,4.05999994277954,4.69000005722046,4.63000011444092,2.75,4.17000007629395,4.25,4.75,4.75,3.94000005722046,3.25,4.56500005722046,5.28999996185303,2.375,3.375,3.30999994277954,4.06500005722046,3.86999988555908,5.28499984741211,4.69000005722046,3.94000005722046
84,"Physicians",24.731556000495,0.968354430379747,10.8406925201416,0.991811215877533,0.00873681927787662,4.3478946685791,5.13684225082397,3.92736840248108,4.20947360992432,4.30052614212036,4.55315780639648,5.96789455413818,4.7621054649353,3.97263145446777,4.53263139724731,3.8352632522583,3.70578956604004,5.23684215545654,4.03947353363037,4.47105264663696,4.3352632522583,3.0278947353363,3.06421041488647,2.88789463043213,5.39894723892212,2.92157888412476,5.12421035766602,4.96736860275269,3.58052635192871,3.2436842918396,5.37526321411133,5.23894739151001,0.803157866001129,4.01999998092651,3.28315782546997,3.34263157844543,3.49947357177734,5.8605260848999,4.88210535049438,4.47315788269043
57,"Mechanical engineers",24.9712037350893,0.974683544303797,10.7338094711304,0.983074426651001,0.00376687983647161,4.25,5.37333345413208,3.95666670799255,4.21000003814697,5.25666666030884,4.28999996185303,5.0533332824707,4.66666650772095,4.10666656494141,3.92666673660278,3.46000003814697,4.03999996185303,4.32999992370605,4.21000003814697,4.17333316802979,4.12666654586792,4.58666658401489,4.58333349227905,2.66333317756653,4.6100001335144,3.99666666984558,4.70666646957397,4.70666646957397,4.08333349227905,3.3766667842865,4.20666646957397,5.20666646957397,2.46000003814697,4.20666646957397,2.8733332157135,3.96000003814697,4.04333353042603,5.42333316802979,4.70666646957397,4.16666650772095
4," Chief executives, public administrators, and legislators",24.8728623069763,0.971518987341772,10.6248912811279,0.979307532310486,0.000610641634519293,4.25,4.96000003814697,3.86999988555908,4.625,5.11499977111816,4.43499994277954,5.78999996185303,4.75,5.39999961853027,5.01999998092651,3.25,4.36999988555908,4.625,3.80999994277954,4.82999992370605,4.75,3.5,3.56500005722046,2.80999994277954,4.34000015258789,3.68499994277954,4.69000005722046,4.80999994277954,4.125,2.63000011444092,4.625,4.98999977111816,0.75,1.30999994277954,3,4.63000011444092,4.43499994277954,5.23000001907349,4.5,4.5
59," Engineers and other professionals, n.e.c.",24.6985910881281,0.965189873417722,10.3357439041138,0.978696882724762,0.00526622639894236,4.23333311080933,5.12933349609375,3.98399996757507,4.11600017547607,5.17133331298828,4.30999994277954,5.17266654968262,4.59133338928223,3.95666670799255,4.55933332443237,3.33400011062622,3.83266663551331,4.32666683197021,4.10066652297974,4.17000007629395,4.04199981689453,4.39266681671143,4.29199981689453,2.75799989700317,4.65666675567627,3.96133351325989,4.80000019073486,4.61800003051758,3.95000004768372,3.14333343505859,4.28466653823853,5.22200012207031,2.06599998474121,4.08400011062622,2.90799999237061,3.7906665802002,3.72399997711182,5.45466661453247,4.80066680908203,4.36533308029175
