"occ1990dd","occ1990dd_title","pseudo","rank_pseudo"
9995,"pseudo_know_it_all",33.7835965563848,1
69,"Physicists and astronomists",14.4000123440261,2
48,"Chemical engineers",12.6915646096933,3
78,"Biological scientists",11.4095330428826,4
66,"Actuaries",11.3650873595656,5
83,"Medical scientists",10.8577260620421,6
44,"Aerospace engineers",10.5885815015639,7
45,"Metallurgical and materials engineers",10.1773678709115,8
53,"Civil engineers",10.1206165873344,9
84,"Physicians",10.0344084829581,10
4," Chief executives, public administrators, and legislators",9.97280344600897,11
57,"Mechanical engineers",9.95087139215949,12
59," Engineers and other professionals, n.e.c.",9.57395860860436,13
73,"Chemists",8.88509140320881,14
75,"Geologists",8.68869628720479,15
77,"Agricultural and food scientists",8.52414162832822,16
173,"Urban and regional planners",8.44842928859457,17
167,"Psychologists",8.31959698423798,18
47," Petroleum, mining, and geological engineers",8.28229342852695,19
9996,"pseudo_med_specialist",8.27432673644889,20
43,"Architects",8.1917947665298,21
166," Economists, market and survey researchers",8.03601074656656,22
88,"Podiatrists",7.97833815571202,23
76," Physical scientists, n.e.c.",7.93100399626648,24
74,"Atmospheric and space scientists",7.81863281175345,25
87,"Optometrists",7.72179524796017,26
258,"Sales engineers",7.62148875949931,27
56,"Industrial engineers",7.59625316153697,28
7,"Financial managers",7.54387865387709,29
65,"Operations and systems researchers and analysts",7.46819945564007,30
169," Social scientists and sociologists, n.e.c.",7.35253227205592,31
178,"Lawyers and judges",7.30742369206028,32
96,"Pharmacists",6.98450966517549,33
85,"Dentists",6.94412221790259,34
55,"Electrical engineers",6.87693179489581,35
95,"Registered nurses",6.82550743992493,36
15,"Managers of medicine and health occupations",6.71394540838111,37
226,"Airplane pilots and navigators",6.70587456027998,38
106,"Physicians' assistants",6.69590232667372,39
97,"Dieticians and nutritionists",6.4798246384598,40
36," Inspectors and compliance officers, outside",6.41299488399744,41
104,"Speech therapists",6.38776809241954,42
64,"Computer systems analysts and computer scientists",6.36612817561946,43
386,"Statistical clerks",6.34156955485013,44
86,"Veterinarians",6.06794747399549,45
154," Subject instructors, college",6.03450103498566,46
89,"Other health and therapy occupations",5.93558854810698,47
68,"Mathematicians and statisticians",5.93188383603516,48
8,"Human resources and labor relations managers",5.89488125475235,49
229,"Computer software developers",5.87192022009302,50
26,"Management analysts",5.79990014846241,51
227,"Air traffic controllers",5.79818874869718,52
22," Managers and administrators, n.e.c.",5.68954641507253,53
103,"Physical therapists",5.46914237415401,54
14,"Managers in education and related fields",5.39776306617894,55
27," Personnel, HR, training, and labor rel. specialists",5.28352096883588,56
13," Managers and specialists in marketing, advert., PR",5.26550834233643,57
79,"Foresters and conservation scientists",5.25562994747269,58
503,"Supervisors of mechanics and repairers",5.22906131171588,59
33," Purchasing managers, agents, and buyers, n.e.c.",5.11338456029102,60
37,"Management support occupations",5.09905573766912,61
23,"Accountants and auditors",5.02682866865613,62
174,"Social workers",4.99893014357139,63
417," Fire fighting, fire prevention, and fire inspection occ",4.92650761254274,64
255,"Financial service sales occupations",4.92172933712228,65
163,"Vocational and educational counselors",4.82921708233771,66
214,"Engineering technicians",4.81246076991328,67
224,"Chemical technicians",4.77016005987491,68
508,"Aircraft mechanics",4.7388610751805,69
176,"Clergy and religious workers",4.59696147115277,70
218," Surveryors, cartographers, mapping scientists/techs",4.56355494405384,71
98,"Respiratory therapists",4.46552830079502,72
25,"Other financial specialists",4.42267568369968,73
9997,"pseudo_med",4.24672630090041,74
235," Technicians, n.e.c.",4.14705484331244,75
99,"Occupational therapists",4.08848639787907,76
105," Therapists, n.e.c.",4.03956519732253,77
165,"Archivists and curators",4.03161178544119,78
157,"Secondary school teachers",4.0204660445381,79
308,"Computer and peripheral equipment operators",3.95013327226429,80
208," Health technologists and technicians, n.e.c.",3.85544597252229,81
223,"Biological technicians",3.76477133171297,82
158,"Special education teachers",3.67479180507384,83
203,"Clinical laboratory technologies and technicians",3.58809021040224,84
418," Police and detectives, public service",3.55054218263303,85
